source_file,ui_router_state,url,controller
public/js/custom-states.js,app.qmsdisplay,/qmsdisplay,tokenController
public/js/custom-states.js,app.rackdetailsbystorereport,/rackdetailsbystorereport,RackDetailByStoreReportController
public/js/custom-states.js,app.radiologyresultreview-form,/radiologyresults,RadiologyResultReviewFormController
public/js/custom-states.js,app.radiologyresults,/radiologyresults,RadiologyResultReviewController
public/js/custom-states.js,app.referralfeedback,/referralfeedback/:id,referralfeedbackFormController
public/js/custom-states.js,app.referralfeedbacktab,/referralfeedbacktab,ReferralFeedbackTabController
public/js/custom-states.js,app.referralfeedbacktab.referralfeedbacks,/referralfeedbacks,referralfeedbackListController
public/js/custom-states.js,app.referralfeedbacktab.referrallist,/referrallist,ReferralListController
public/js/custom-states.js,app.refundreport,/refundreport,RefundReportController
public/js/custom-states.js,app.reports,/reports,ReportController
public/js/custom-states.js,app.risdashboard,/dashboard/:tp,DashboardController
public/js/custom-states.js,app.sequencemasters,/sequencemasters,SequenceMastersListController
public/js/custom-states.js,app.serviceexecutions,/serviceexecutions/:id,serviceExecutionFormController
public/js/custom-states.js,app.serviceitemreport,/serviceitemreport,serviceItemReportController
public/js/custom-states.js,app.servicerequest,/servicerequest/:id,serviceRequestFormController
public/js/custom-states.js,app.servicerequests,/servicerequests,serviceRequestListController
public/js/custom-states.js,app.staffcreditbillreport,/staffcreditbillreport,StaffCreditBillReportController
public/js/custom-states.js,app.staffcreditreturnreport,/staffcreditreturnreport,StaffCreditReturnReportController
public/js/custom-states.js,app.staffcreditsummaryreport,/staffcreditsummaryreport,StaffCreditSummaryReportController
public/js/custom-states.js,app.staffpendingpaymentreport,/staffpendingpaymentreport,StaffPendingPaymentReportController
public/js/custom-states.js,app.statemaster,/statemasters,stateMasterListController
public/js/custom-states.js,app.stockadjustmentreport,/stockadjustmentreport,StockAdjustmentReportController
public/js/custom-states.js,app.stockindentreport,/stockindentreport,StockIndentReportController
public/js/custom-states.js,app.stockissuevocherreport,/stockissuevocherreport,StockIssueVocherReportController
public/js/custom-states.js,app.stockmovementreport,/stockmovementreport,StockMovementReportController
public/js/custom-states.js,app.stocknonmovementreport,/stocknonmovementreport,StockNonMovementReportController
public/js/custom-states.js,app.stockstatusbatchreport,/stockstatusbatchreport,StockStatusBatchReportController
public/js/custom-states.js,app.stockstatusproductsummaryreport,/stockstatusproductsummaryreport,StockStatusProductSummaryReportController
public/js/custom-states.js,app.stockstatusreport,/stockstatusreport,StockStatusReportController
public/js/custom-states.js,app.storemasterreport,/storemasterreport,StoreMasterReportController
public/js/custom-states.js,app.suppliermasterreport,/suppliermasterreport,SupplierMasterReportController
public/js/custom-states.js,app.surgeryregisters,/surgeryregisters,otregisterListController
public/js/custom-states.js,app.systemexamination,/systemexamination,SystemExaminationListController
public/js/custom-states.js,app.threewaymatching,/threewaymatching-form,threewayMatchingFormController
public/js/custom-states.js,app.threewaymatchings,/threewaymatching-list,threewayMatchingListController
public/js/custom-states.js,app.triages,/triage,triageListController
public/js/custom-states.js,app.usermasterreport,/usermasterreport,UserMasterReportController
public/js/custom-states.js,app.vendordetailreport,/vendordetailreport,VendorDetailReportController
public/js/custom-states.js,app.warddisplay,/warddisplay,wardboardController
public/js/custom-states.js,app.workorderprocesstab,/workorderprocess/:tp,workorderProcessTabController
public/js/custom-states.js,app.workorderprocesstab.processallorders,/allorders/:tp,allOrderProcessListController
public/js/custom-states.js,app.workorderprocesstab.processmyorders,/myorders/:tp,myOrderProcessListController
public/js/custom-states.js,patientemr.consuldationnotestab,/consuldationnotestab/:id,consultationtabController
public/js/custom-states.js,patientemr.consuldationnotestab.consultationnotes,/consultationnotes,consultationnotesController
public/js/custom-states.js,patientemr.consuldationnotestab.patientorder,/patientorder/:pid,patientOrderListsController
public/js/custom-states.js,patientemr.consuldationnotestab.prescription,/patientprescription/:pid,prescriptionFormmodalController
public/js/custom-states.js,patientemr.consuldationnotestab.vitals,/patientvitals/:pid,patientVitalsFormController
